55       
0 0 0 0 8.9714135725e-01
1 0 0 0 5.0459026619e-01
1 0 1 0 2.9992434741e-01
1 1 0 0 5.0726748011e-01
1 1 1 0 3.2393419145e-01
1 1 1 1 3.9404451354e-01
2 0 0 0 1.2875882892e-01
2 0 1 0 7.9908981570e-02
2 0 1 1 9.0491812905e-02
2 0 2 0 4.1728140415e-02
2 1 0 0 1.4060447929e-01
2 1 1 0 9.0730511402e-02
2 1 1 1 1.0943969687e-01
2 1 2 0 5.0551600885e-02
2 1 2 1 6.5440542186e-02
2 2 0 0 5.1993891420e-01
2 2 1 0 3.4204573740e-01
2 2 1 1 4.2199296706e-01
2 2 2 0 2.2505295374e-01
2 2 2 1 3.0146248679e-01
2 2 2 2 1.5430212156e+00
3 0 0 0 3.4816709301e-01
3 0 1 0 2.0702546745e-01
3 0 1 1 2.2352837202e-01
3 0 2 0 7.1283118789e-02
3 0 2 1 8.2370787267e-02
3 0 2 2 3.2338761555e-01
3 0 3 0 1.5977314491e-01
3 1 0 0 3.3577428884e-01
3 1 1 0 2.1372847998e-01
3 1 1 1 2.5761518622e-01
3 1 2 0 8.2345677256e-02
3 1 2 1 1.0374603602e-01
3 1 2 2 4.2223076253e-01
3 1 3 0 1.7061617545e-01
3 1 3 1 2.0868720348e-01
3 2 0 0 3.2548625024e-01
3 2 1 0 2.1290672937e-01
3 2 1 1 2.6271680819e-01
3 2 2 0 1.2475555299e-01
3 2 2 1 1.6597525144e-01
3 2 2 2 7.8494871844e-01
3 2 3 0 1.9592293985e-01
3 2 3 1 2.5527804714e-01
3 2 3 2 4.2674585804e-01
3 3 0 0 4.7937962369e-01
3 3 1 0 3.1143812536e-01
3 3 1 1 3.8824723973e-01
3 3 2 0 1.4341720821e-01
3 3 2 1 1.8886589348e-01
3 3 2 2 8.0343420511e-01
3 3 3 0 2.6622807741e-01
3 3 3 1 3.4708065367e-01
3 3 3 2 4.7588057371e-01
3 3 3 3 6.1553901612e-01
